"","county_fips","total_flu","total_asymp_flu","percent_asymp_flu","percent_5_12_flu","percent_18_49_flu","percent_0_4_flu","percent_50_64_flu","percent_65_plus_flu","percent_13_17_flu","percent_female_flu","percent_white_flu","percent_black_flu","percent_hispanic_flu","percent_asian_flu","total_covid","total_rsv","total_all_cause","avg_temp","avg_humidity","percent_poor_health","days_poor_mental_health","percent_obese","rate_doctors","percent_unemployed","life_expectancy","percent_mental_distress","median_hh_income","population","percent_rural","percent_vaccinated","icu_beds","percent_asymp_flu_log","percent_asymp_flu_scale","percent_flu","percent_rsv","percent_covid","rate_icu_beds","median_hh_income_scale","population_scale","percent_65_plus_flu_scale","percent_white_flu_scale","percent_female_flu_scale","percent_poor_health_scale","percent_obese_scale","percent_mental_distress_scale","percent_rural_scale","percent_vaccinated_scale"
"22","01043",167,57,0.341317365269461,0.179640718562874,0.251497005988024,0.0419161676646707,0.191616766467066,0.281437125748503,0.0538922155688623,0.538922155688623,0.948717948717949,0.0512820512820513,0,0,350,27,30966,62.1105088516046,76.2846729468193,0.182,5.5284692271,0.377,48.04684,0.0206421435,72.948149151,0.188,61774,90665,0.7559920788,0.47,12,3.53022764140589,34.1317365269461,5.39301169024091,0.871924045727572,11.3027191112833,13.2355374179672,6.1774,0.90665,28.1437125748503,94.8717948717949,53.8922155688623,18.2,37.7,18.8,75.59920788,47
"23","01045",36,20,0.555555555555556,0.194444444444444,0.25,0.0277777777777778,0.0833333333333333,0.333333333333333,0.111111111111111,0.694444444444444,0.714285714285714,0.285714285714286,0,0,91,2,10591,67.510770506122,73.5503860499025,0.206,5.9870645533,0.389,28.37339,0.0262207866,73.312265613,0.194,50567,49544,0.5045209423,0.37,6,4.01738352108597,55.5555555555556,3.39911245397035,0.188839580776131,8.59220092531395,12.1104472791862,5.0567,0.49544,33.3333333333333,71.4285714285714,69.4444444444444,20.6,38.9,19.4,50.45209423,37
"24","01049",102,42,0.411764705882353,0.0882352941176471,0.225490196078431,0.00980392156862745,0.196078431372549,0.46078431372549,0.0196078431372549,0.568627450980392,0.941176470588235,0.0196078431372549,0.0392156862745098,0,220,20,19738,61.1051912704641,74.8057402179043,0.231,6.1839528052,0.41,40.38266,0.0234380017,72.614790165,0.207,50037,71998,0.8829739694,0.37,12,3.71786699098719,41.1764705882353,5.16769682845273,1.01327388793191,11.146012767251,16.6671296424901,5.0037,0.71998,46.078431372549,94.1176470588235,56.8627450980392,23.1,41,20.7,88.29739694,37
"25","01051",288,76,0.263888888888889,0.229166666666667,0.204861111111111,0.0902777777777778,0.100694444444444,0.232638888888889,0.142361111111111,0.572916666666667,0.81981981981982,0.135135135135135,0.045045045045045,0,348,36,29742,66.1970618351154,69.8461916307986,0.169,5.309149368,0.388,22.39541,0.0219438196,74.601365722,0.178,71463,89563,0.7123680053,0.34,5,3.27294304613848,26.3888888888889,9.68327617510591,1.21040952188824,11.700625378253,5.58266248339158,7.1463,0.89563,23.2638888888889,81.981981981982,57.2916666666667,16.9,38.8,17.8,71.23680053,34
"26","01053",126,60,0.476190476190476,0.0793650793650794,0.198412698412698,0.0555555555555556,0.214285714285714,0.420634920634921,0.0317460317460317,0.579365079365079,0.765432098765432,0.17283950617284,0.0617283950617284,0,147,22,10447,67.4234703989321,73.4852882659636,0.255,6.3647470217,0.458,29.97357,0.0310589558,70.793018347,0.209,47792,36666,0.6528280328,0.31,14,3.86323284125871,47.6190476190476,12.060878721164,2.10586771321911,14.0710251746913,38.1825124093165,4.7792,0.36666,42.0634920634921,76.5432098765432,57.9365079365079,25.5,45.8,20.9,65.28280328,31
"27","01055",261,67,0.256704980842912,0.134099616858238,0.218390804597701,0.0306513409961686,0.157088122605364,0.375478927203065,0.0842911877394636,0.597701149425287,0.925925925925926,0.0518518518518519,0.0222222222222222,0,386,24,37091,62.1398476962735,77.0861630420977,0.201,6.2614191204,0.393,73.67054,0.0302744818,71.229589041,0.199,55487,103088,0.4316968947,0.35,56,3.24534239805636,25.6704980842912,7.03674745895231,0.64705723760481,10.406837238144,54.3225205649542,5.5487,1.03088,37.5478927203065,92.5925925925926,59.7701149425287,20.1,39.3,19.9,43.16968947,35
"28","01057",39,8,0.205128205128205,0.230769230769231,0.230769230769231,0.0512820512820513,0.256410256410256,0.153846153846154,0.0769230769230769,0.538461538461538,0.8,0.2,0,0,69,4,3775,64.1471595175058,73.5307785551388,0.22,6.1465422702,0.377,99.08348,0.0273099681,71.289393243,0.206,49205,16118,1,0.4,12,3.02105008153828,20.5128205128205,10.3311258278146,1.05960264900662,18.2781456953642,74.4509244323117,4.9205,0.16118,15.3846153846154,80,53.8461538461538,22,37.7,20.6,100,40
"29","01059",133,38,0.285714285714286,0.12781954887218,0.18796992481203,0.075187969924812,0.195488721804511,0.330827067669173,0.0827067669172932,0.421052631578947,0.92,0.0533333333333333,0.0133333333333333,0.0133333333333333,317,16,13782,62.6781504133354,73.4083601195023,0.23,5.8831513177,0.391,40.6085,0.0234809475,72.368356465,0.199,49611,31932,0.6904991748,0.37,7,3.35240721749272,28.5714285714286,9.65026846611522,1.16093455231461,23.0010158177333,21.9215833646499,4.9611,0.31932,33.0827067669173,92,42.1052631578947,23,39.1,19.9,69.04991748,37
"30","01061",34,17,0.5,0.117647058823529,0.235294117647059,0.117647058823529,0.323529411764706,0.176470588235294,0.0294117647058824,0.382352941176471,0.88235294117647,0.117647058823529,0,0,84,17,8287,67.5020958877919,73.0623020612986,0.225,6.2342426762,0.416,29.96142,0.0239637881,71.061766946,0.207,51585,26783,0.9944108931,0.37,6,3.91202300542815,50,4.10281163267769,2.05140581633884,10.1363581513213,22.4022700967031,5.1585,0.26783,17.6470588235294,88.235294117647,38.2352941176471,22.5,41.6,20.7,99.44108931,37
"32","01067",27,7,0.259259259259259,0.259259259259259,0.296296296296296,0.0740740740740741,0.111111111111111,0.185185185185185,0.0740740740740741,0.592592592592593,0.933333333333333,0,0.0666666666666667,0,83,16,4079,67.9566092075143,72.5399775686445,0.202,5.6298429127,0.383,34.36623,0.0270806749,74.285708311,0.191,56702,17655,1,0.36,0,3.25524346903907,25.9259259259259,6.61926942878156,3.92253003187056,20.3481245403285,0,5.6702,0.17655,18.5185185185185,93.3333333333333,59.2592592592593,20.2,38.3,19.1,100,36
"33","01069",109,49,0.44954128440367,0.128440366972477,0.238532110091743,0.0825688073394495,0.192660550458716,0.302752293577982,0.055045871559633,0.559633027522936,0.872727272727273,0.109090909090909,0,0.0181818181818182,194,26,23230,68.1936759892975,72.1730687029589,0.197,5.5117854859,0.396,81.89246,0.0259166667,74.093187709,0.189,56842,108079,0.3431652395,0.42,66,3.80564260186957,44.954128440367,4.69220835126991,1.11924235901851,8.35126990959966,61.0664421395461,5.6842,1.08079,30.2752293577982,87.2727272727273,55.9633027522936,19.7,39.6,18.9,34.31652395,42
"34","01071",265,114,0.430188679245283,0.128301886792453,0.207547169811321,0.0754716981132075,0.256603773584906,0.260377358490566,0.0716981132075472,0.577358490566038,0.869565217391304,0.104347826086957,0.00869565217391304,0.0173913043478261,337,59,27739,62.0027662268164,76.7793250668923,0.208,6.1012787781,0.377,51.16253,0.0251455683,71.510225461,0.201,51965,52891,0.7530953422,0.39,10,3.76163880839636,43.0188679245283,9.55333645769494,2.1269692490717,12.1489599480875,18.9068083416838,5.1965,0.52891,26.0377358490566,86.9565217391304,57.7358490566038,20.8,37.7,20.1,75.30953422,39
